Delivery Date,Delivery Hour,Delivery Interval,Repeated Hour Flag,Settlement Point,Settlement Point Type,Settlement Point Price
01/01/2012,23,4,N,HB_BUSAVG,SH,23.62
01/01/2012,24,1,N,HB_BUSAVG,SH,23.8
01/01/2012,24,2,N,HB_BUSAVG,SH,23.42
01/01/2012,24,3,N,HB_BUSAVG,SH,22.4
01/01/2012,24,4,N,HB_BUSAVG,SH,21.6
01/01/2013,1,1,N,HB_BUSAVG,SH,21.71
01/01/2013,1,2,N,HB_BUSAVG,SH,21.64
01/01/2013,1,3,N,HB_BUSAVG,SH,21.8
01/01/2013,1,4,N,HB_BUSAVG,SH,21.51
01/01/2013,2,1,N,HB_BUSAVG,SH,21.26
01/01/2013,2,2,N,HB_BUSAVG,SH,21.2
01/01/2013,2,3,N,HB_BUSAVG,SH,21.35
01/01/2013,2,4,N,HB_BUSAVG,SH,21.08
01/01/2013,3,1,N,HB_BUSAVG,SH,21.01
01/01/2013,3,2,N,HB_BUSAVG,SH,20.65
01/01/2013,3,3,N,HB_BUSAVG,SH,20.86
01/01/2013,3,4,N,HB_BUSAVG,SH,20.66
01/01/2013,4,1,N,HB_BUSAVG,SH,20.49
01/01/2013,4,2,N,HB_BUSAVG,SH,20.18
01/01/2013,4,3,N,HB_BUSAVG,SH,20.01
01/01/2013,4,4,N,HB_BUSAVG,SH,19.7
01/01/2013,5,1,N,HB_BUSAVG,SH,19.46
01/01/2013,5,2,N,HB_BUSAVG,SH,19.63
01/01/2013,5,3,N,HB_BUSAVG,SH,20.09
01/01/2013,5,4,N,HB_BUSAVG,SH,20.3
01/01/2013,6,1,N,HB_BUSAVG,SH,19.76
01/01/2013,6,2,N,HB_BUSAVG,SH,19.9
01/01/2013,6,3,N,HB_BUSAVG,SH,20.17
01/01/2013,6,4,N,HB_BUSAVG,SH,20.55
01/01/2013,7,1,N,HB_BUSAVG,SH,22.05
01/01/2013,7,2,N,HB_BUSAVG,SH,22.29
01/01/2013,7,3,N,HB_BUSAVG,SH,22.52
01/01/2013,7,4,N,HB_BUSAVG,SH,22.57
01/01/2013,8,1,N,HB_BUSAVG,SH,22.16
01/01/2013,8,2,N,HB_BUSAVG,SH,21.38
01/01/2013,8,3,N,HB_BUSAVG,SH,21.43
